"campus","unidade","shortcode","data","legenda","link","img_url","dia_semana","mes"
"Itapetinga","ifbaiano_itapetinga","?hl=zh-cn","13/05/2026 16:40","""Que honra participar do sábado letivo no @ifbaiano_itapetinga, hoje, compartilhando conhecimento com os alunos do 3º ano do Ensino Médio! ✨ Enemzeiro, você ...""","https://www.instagram.com/ifbaiano_itapetinga/reels/?hl=zh-cn","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","2","5"
"Itapetinga","ifbaiano_itapetinga","DW1B-KxDrgD","07/04/2026 00:00","""... IF Baiano – Campus Guanambi/BA, com a presença do secretário de ... Join Instituto Federal Baiano on Instagram. Sign up for Instagram.""","https://www.instagram.com/reel/DW1B-KxDrgD/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","1","4"
"Itapetinga","ifbaiano_itapetinga","DUtR5GjiQdn","13/02/2026 00:00","""Se você está na Lista de Espera do SiSU para o IF Baiano - Campus Itapetinga, fique atento às novas datas de matrícula. Quando? De 12 a 14 de ...""","https://www.instagram.com/p/DUtR5GjiQdn/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","4","2"
"Itapetinga","ifbaiano_itapetinga","DVqh6h1jgYH","09/03/2026 00:00","""Uma manhã com muita música, ginástica, orientações com nutricionista, com equipes de enfermagem aferindo a pressão e diabetes do pessoal. Também ...""","https://www.instagram.com/p/DVqh6h1jgYH/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","0","3"
"Itapetinga","ifbaiano_itapetinga","DWkqvwQjg4J","31/03/2026 00:00","""Em breve divulgaremos novas informações sobre a nova data do evento. Acompanhe as atualizações pelo Instagram: @encontec.ifbaianoteixeira ...""","https://www.instagram.com/p/DWkqvwQjg4J/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","1","3"
"Itapetinga","ifbaiano_itapetinga","DWHCPj1jglS","20/03/2026 00:00","""Para mais informações leia os editais completos no site do If Baiano não perca a oportunidade. ... ifbaiano_itapetinga. ✨ Quer dar os primeiros ...""","https://www.instagram.com/reel/DWHCPj1jglS/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","4","3"
"Itapetinga","ifbaiano_itapetinga","?__d=1Soul%E7%94%B7%E5%8F%B7%E6%89%B9%E5%8F%91%E5%95%86%E5%9F%8E%E2%9C%94%EF%B8%8F%2Bweixinle.com%2B%E2%AD%90%2B%2B%E7%9A%87%E5%86%A0%E7%AD%89%E7%BA%A79%E4%B8%BAQQ%E5%8F%B7%E5%87%BA%E6%B5%B7%E7%A5%9E%E5%99%A8","10/05/2026 18:23","""10K followers · 726 posts · Instituto Federal de Educação, Ciência e Tecnologia Baiano - Campus Itapetinga. Ensino Pesquisa Extensão.""","https://www.instagram.com/ifbaiano_itapetinga/reels/?__d=1Soul%E7%94%B7%E5%8F%B7%E6%89%B9%E5%8F%91%E5%95%86%E5%9F%8E%E2%9C%94%EF%B8%8F%2Bweixinle.com%2B%E2%AD%90%2B%2B%E7%9A%87%E5%86%A0%E7%AD%89%E7%BA%A79%E4%B8%BAQQ%E5%8F%B7%E5%87%BA%E6%B5%B7%E7%A5%9E%E5%99%A8","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","6","5"
"Itapetinga","ifbaiano_itapetinga","DXkNR9viTAm","25/04/2026 00:00","""O IF Baiano – Campus Teixeira de Freitas realizou a inauguração do Programa Partiu IF ... Join Instituto Federal Baiano on Instagram. Sign ...""","https://www.instagram.com/reel/DXkNR9viTAm/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","5","4"
"Itapetinga","ifbaiano_itapetinga","DYPv1GERGpN","12/05/2026 18:23","""O Instituto Federal Baiano acaba de publicar o edital para a contratação de Professor Substituto. Se você é da área de educação e busca uma ...""","https://www.instagram.com/p/DYPv1GERGpN/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","1","5"
"Itapetinga","ifbaiano_itapetinga","DXpXjDRGZDT","28/04/2026 00:00","""✈️ O IF Baiano está com inscrições abertas para seleção interna de cursos de Inglês no Canadá. Uma oportunidade de qualificação internacional ...""","https://www.instagram.com/p/DXpXjDRGZDT/?img_index=4&__d=1%E9%AB%98%E6%95%88%E7%9A%84%E6%9F%A5%E8%AF%A2%E8%BD%A6%E8%BE%86%E8%A1%8C%E9%A9%B6%E8%BD%A8%E8%BF%B9%E5%AE%9A%E4%BD%8D%E3%80%82%E9%83%BD%E6%87%82%E7%9A%84%E5%9C%88%E5%86%85%E5%90%8D%E4%BA%BA%E4%BB%98%E8%B4%B9%E7%A4%BE%E5%B7%A5%E5%BA%93%E2%9C%94%EF%B8%8Fchalalala.com","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","1","4"
"Itapetinga","ifbaiano_itapetinga","DXb6-HWiqqu","22/04/2026 00:00","""Bem-vindos ao novo semestre “ACREDITAR EM SI MESMO É O PRIMEIRO PASSO PARA O SUCESSO DESTE SEMESTRE.” ... #ifbaianoitapetinga #ifbaiano # ...""","https://www.instagram.com/p/DXb6-HWiqqu/","https://placehold.co/400x300/27ae60/white?text=Instagram+Post","2","4"
