"campus","unidade","shortcode","data","legenda","link","img_url","dia_semana","mes","tipo"
"Teixeira_de_Freitas","ifbaianoteixeiradefreitas","DX84AlMEbH5","04/05/2026 23:33","""INSTITUTO FEDERAL Baiano Campus Teixeira de Freitas NÓS SOMOS O IF BAIANO @ifbaianoteixeiradefreitas ... ifbaianoteixeiradefreitas #PARTIU IF. Join FORMAÇÃO ...""","https://www.instagram.com/p/DX84AlMEbH5/","","0","5","Post"
"Serrinha","ifbaianoserrinha","DXw1sv_IYwY","30/04/2026 00:00","""Em parceria com o @ifbaianoserrinha – Serrinha, realizamos a roda de diálogo Capoeira e Natureza com @mariasantosfreitas2004 e a oficina de confecção de ...""","https://www.instagram.com/p/DXw1sv_IYwY/","","3","4","Post"
"Valença","ifbaiano_valenca","DXo1mRUDn2Z","27/04/2026 00:00","""'Nossa aluna, Wandra Barbosa, do primeiro módulo, Turma Pw13, trás em resumo a sua experiência vivida nas aulas, em Chanupá, no Conde (PB)', Claubethe Nóbrega.""","https://www.instagram.com/p/DXo1mRUDn2Z/","","0","4","Post"
"Itaberaba","ifbaiano.itaberaba","DXj6cAElvni","25/04/2026 00:00","""ifbaiano.itaberaba. Os treinamentos esportivos já começaram no Campus Itaberaba! ⚽ Ontem foi dia de futsal e basquete entrarem em quadra, marcando o ...""","https://www.instagram.com/p/DXj6cAElvni/","","5","4","Post"
"Reitoria","ifbaiano","DXETtn3EZPq","13/04/2026 00:00","""O IF Baiano - Campus Guanambi reforça o convite: venham participar de nossas atividades gratuitas nos dias 24 e 25 de abril. A ciência é para todos! #Ciencia ...""","https://www.instagram.com/p/DXETtn3EZPq/?img_index=3","","0","4","Post"
"Xique_Xique","ifbaiano.xiquexique","DW7LJZxCTrz","09/04/2026 00:00","""63 likes, 0 comments - ifbaiano.xiquexique on April 9, 2026: 'Hoje (09/04), o IF Baiano - Campus Xique-Xique marcou presença no I Encontro de Fruticultura ...""","https://www.instagram.com/p/DW7LJZxCTrz/","","3","4","Post"
"Governador_Mangabeira","ifbaiano.govmangabeira","DWRH1fPEYm4","24/03/2026 00:00","""203 likes, 6 comments - ifbaiano.govmangabeira on March 24, 2026: ' Novo ciclo no IF Baiano – Campus Governador Mangabeira! No dia 23/03, foi realizada a ...""","https://www.instagram.com/p/DWRH1fPEYm4/","","1","3","Post"
"Santa_Inês","ifbaiano.santaines","DVRW7ZFgf8t","27/02/2026 00:00","""ifbaiano.santaines. Atualização do Processo Seletivo! O Instituto Federal de Educação, Ciência e Tecnologia Baiano – Campus Santa Inês divulgou o ...""","https://www.instagram.com/p/DVRW7ZFgf8t/","","4","2","Post"
"Alagoinhas","ifbaiano_alagoinhas","DVO-YqAEoTn","26/02/2026 00:00","""Como funciona um ninho de Abelhas Sem Ferrão (ASF)? Organização e cooperação definem tudo: cada abelha tem sua função, garantindo alimento, ...""","https://www.instagram.com/p/DVO-YqAEoTn/","","3","2","Post"
"Itapetinga","ifbaiano_itapetinga","DVD5W1XjRTu","22/02/2026 00:00","""... Adicionais ​WhatsApp: (77) 99969-7107. ​Instagram: @ifbaiano_itapetinga. ​E-mail: partiuif@reitoria.ifbaiano.edu.br. ​Site Oficial: concurso.ifbaiano.edu.br.""","https://www.instagram.com/p/DVD5W1XjRTu/","","6","2","Post"
"Catu","ifbaianocampuscatu","DTssy53kfYN","19/01/2026 00:00","""As inscrições para o SiSU 2026 já começaram! Se você quer estudar no IF Baiano - Campus Catu, a hora é agora. Não deixe para a última hora e garanta sua vaga no ...""","https://www.instagram.com/p/DTssy53kfYN/","","0","1","Post"
"Bom_Jesus_da_Lapa","ifbaiano_lapa","DTfOzxpjksK","14/01/2026 00:00","""... ifbaiano_lapa. #minhocas #minhocario #esculturademinhoca #casulosdeminhocas #húmus. more. View all 6 comments · 5 days ago. Transcript. João é apenas um criador ...""","https://www.instagram.com/p/DTfOzxpjksK/","","2","1","Post"
"Uruçuca","ifbaiano_urucuca","DTgPVhEktZ4","14/01/2026 00:00","""Uma excelente oportunidade para quem busca qualificação técnica, troca de conhecimento e aprimoramento na produção de mudas de cacau. Todas as informações e ...""","https://www.instagram.com/p/DTgPVhEktZ4/","","2","1","Post"
